country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,date
Venezuela,165,+6,7 ,,65,2020-04-06
Mayotte,164,+17,2 ,,15,2020-04-06
DRC,161,+7,18 ,,5,2020-04-06
Kenya,158,+16,6 ,+2,4,2020-04-06
Martinique,151,+2,4 ,,50,2020-04-06
Guadeloupe,139,+4,7 ,,31,2020-04-06
Isle of Man,139,+12,1 ,,55,2020-04-06
Brunei ,135,,1 ,,82,2020-04-06
Guinea,128,+7, ,,5,2020-04-06
Bangladesh,123,+35,12 ,+3,33,2020-04-06
Cambodia,114,, ,,53,2020-04-06
Paraguay,113,+9,5 ,+2,12,2020-04-06
Gibraltar,109,+6, ,,52,2020-04-06
Trinidad and Tobago,105,+1,8 ,+1,1,2020-04-06
Rwanda,105,+1, ,,4,2020-04-06
Djibouti,90,+31, ,,9,2020-04-06
Madagascar,82,+10, ,,2,2020-04-06
Liechtenstein,77,,1 ,,55,2020-04-06
Monaco,77,+4,1 ,,4,2020-04-06
French Guiana,72,+4, ,,34,2020-04-06
Aruba,71,+7, ,,2,2020-04-06
Guatemala,70,,3 ,,15,2020-04-06
El Salvador,69,+7,4 ,+1,5,2020-04-06
Barbados,60,+4,2 ,+1,6,2020-04-06
Jamaica,59,+1,3 ,,8,2020-04-06
Togo,58,+14,3 ,,23,2020-04-06
Uganda,52,, ,,,2020-04-06
Mali,47,+2,5 ,,9,2020-04-06
Congo,45,,5 ,,2,2020-04-06
Ethiopia,44,+1,2 ,,4,2020-04-06
Macao,44,, ,,10,2020-04-06
French Polynesia,42,+1, ,,,2020-04-06
Bermuda,39,+2,2 ,+2,17,2020-04-06
Cayman Islands,39,,1 ,,1,2020-04-06
Zambia,39,,1 ,,5,2020-04-06
Sint Maarten,37,+12,6 ,+2,1,2020-04-06
Bahamas,33,+4,5 ,,5,2020-04-06
Saint Martin,32,,2 ,,7,2020-04-06
Guyana,31,+7,4 ,,8,2020-04-06
Eritrea,31,+2, ,,,2020-04-06
Benin,26,+4,1 ,+1,5,2020-04-06
Gabon,24,+3,1 ,,1,2020-04-06
Haiti,24,+3,1 ,,,2020-04-06
Tanzania,24,+2,1 ,,3,2020-04-06
Myanmar,22,+1,1 ,,,2020-04-06
Syria,19,,2 ,,2,2020-04-06
Libya,19,+1,1 ,,1,2020-04-06
Maldives,19,, ,,13,2020-04-06
Guinea-Bissau,18,, ,,,2020-04-06
New Caledonia,18,, ,,1,2020-04-06
Angola,16,+2,2 ,,2,2020-04-06
Equatorial Guinea,16,, ,,3,2020-04-06
Namibia,16,, ,,3,2020-04-06
Antigua and Barbuda,15,, ,,,2020-04-06
Dominica,15,+1, ,,1,2020-04-06
Mongolia,15,+1, ,,2,2020-04-06
Liberia,14,+1,3 ,,3,2020-04-06
Fiji,14,+2, ,,,2020-04-06
Saint Lucia,14,, ,,1,2020-04-06
Curaçao,13,+2,1 ,,5,2020-04-06
Sudan,12,,2 ,,2,2020-04-06
Grenada,12,,  ,,,2020-04-06
Laos,12,+1, ,,,2020-04-06
Greenland,11,, ,,4,2020-04-06
Seychelles,11,+1, ,,,2020-04-06
Suriname,10,,1 ,,,2020-04-06
Zimbabwe,10,+1,1 ,,,2020-04-06
Mozambique,10,, ,,1,2020-04-06
Saint Kitts and Nevis,10,, ,,,2020-04-06
Eswatini,10,+1, ,,4,2020-04-06
MS Zaandam,9,,2 ,,,2020-04-06
Nepal,9,, ,,1,2020-04-06
Chad,9,, ,,,2020-04-06
Turks and Caicos,8,+3,1 ,,,2020-04-06
CAR,8,, ,,,2020-04-06
Belize,7,+2,1 ,+1,,2020-04-06
Cabo Verde,7,,1 ,,1,2020-04-06
Vatican City,7,, ,,,2020-04-06
St. Vincent Grenadines,7,, ,,1,2020-04-06
Somalia,7,, ,,1,2020-04-06
Botswana,6,,1 ,,,2020-04-06
Mauritania,6,,1 ,,2,2020-04-06
Nicaragua,6,,1 ,,,2020-04-06
Montserrat,6,, ,,,2020-04-06
St. Barth,6,, ,,1,2020-04-06
Sierra Leone,6,, ,,,2020-04-06
Bhutan,5,, ,,2,2020-04-06
Malawi,5,+1, ,,,2020-04-06
Gambia,4,,1 ,,2,2020-04-06
Sao Tome and Principe,4,+4, ,,,2020-04-06
Western Sahara,4,, ,,,2020-04-06
Anguilla,3,, ,,,2020-04-06
British Virgin Islands,3,, ,,,2020-04-06
Burundi,3,, ,,,2020-04-06
Caribbean Netherlands,2,, ,,,2020-04-06
Falkland Islands,2,, ,,,2020-04-06
Papua New Guinea,2,+1, ,,,2020-04-06
Saint Pierre Miquelon,1,, ,,,2020-04-06
South Sudan,1,, ,,,2020-04-06
Timor-Leste,1,, ,,,2020-04-06
Total:,"1,346,004","+73,142","74,654","+5,230","278,445",2020-04-06
