country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,date
Bangladesh,164,+41,17 ,+5,33,2020-04-07
Mayotte,164,,2 ,,15,2020-04-07
DRC,161,,18 ,,5,2020-04-07
Martinique,152,+1,4 ,,50,2020-04-07
Isle of Man,150,+11,1 ,,73,2020-04-07
Guadeloupe,139,,7 ,,31,2020-04-07
Brunei ,135,,1 ,,85,2020-04-07
Guinea,128,, ,,5,2020-04-07
Paraguay,115,+2,5 ,,15,2020-04-07
Cambodia,115,+1, ,,58,2020-04-07
Gibraltar,113,+4, ,,60,2020-04-07
Trinidad and Tobago,106,+1,8 ,,1,2020-04-07
Rwanda,105,, ,,7,2020-04-07
Djibouti,90,, ,,9,2020-04-07
Madagascar,88,+6, ,,2,2020-04-07
Monaco,79,+2,1 ,,4,2020-04-07
El Salvador,78,+9,4 ,,5,2020-04-07
Guatemala,77,+7,3 ,,17,2020-04-07
Liechtenstein,77,,1 ,,55,2020-04-07
Aruba,74,+3, ,,14,2020-04-07
French Guiana,72,, ,,34,2020-04-07
Togo,65,+7,3 ,,23,2020-04-07
Barbados,63,+3,3 ,+1,6,2020-04-07
Jamaica,59,,3 ,,8,2020-04-07
Mali,56,+9,5 ,,12,2020-04-07
Ethiopia,52,+8,2 ,,4,2020-04-07
Uganda,52,, ,,,2020-04-07
French Polynesia,47,+5, ,,,2020-04-07
Congo,45,,5 ,,2,2020-04-07
Cayman Islands,45,+6,1 ,,1,2020-04-07
Macao,44,, ,,10,2020-04-07
Sint Maarten,40,+3,6 ,,1,2020-04-07
Bermuda,39,,2 ,,17,2020-04-07
Zambia,39,,1 ,,7,2020-04-07
Bahamas,33,,6 ,+1,5,2020-04-07
Guinea-Bissau,33,+15, ,,,2020-04-07
Saint Martin,32,,2 ,,7,2020-04-07
Guyana,31,,5 ,+1,8,2020-04-07
Eritrea,31,, ,,,2020-04-07
Gabon,30,+6,1 ,,1,2020-04-07
Benin,26,,1 ,,5,2020-04-07
Haiti,25,+1,1 ,,,2020-04-07
Tanzania,24,,1 ,,5,2020-04-07
Myanmar,22,,1 ,,,2020-04-07
Libya,20,+1,1 ,,1,2020-04-07
Syria,19,,2 ,,3,2020-04-07
Maldives,19,, ,,13,2020-04-07
New Caledonia,18,, ,,1,2020-04-07
Angola,17,+1,2 ,,2,2020-04-07
Equatorial Guinea,16,, ,,3,2020-04-07
Namibia,16,, ,,3,2020-04-07
Antigua and Barbuda,15,, ,,,2020-04-07
Dominica,15,, ,,1,2020-04-07
Fiji,15,+1, ,,,2020-04-07
Mongolia,15,, ,,4,2020-04-07
Liberia,14,,3 ,,3,2020-04-07
Sudan,14,+2,2 ,,2,2020-04-07
Laos,14,+2, ,,,2020-04-07
Saint Lucia,14,, ,,1,2020-04-07
Curaçao,13,,1 ,,7,2020-04-07
Grenada,12,, ,,,2020-04-07
Greenland,11,, ,,10,2020-04-07
Saint Kitts and Nevis,11,+1, ,,,2020-04-07
Seychelles,11,, ,,,2020-04-07
Suriname,10,,1 ,,,2020-04-07
Zimbabwe,10,,1  ,,,2020-04-07
Chad,10,+1, ,,2,2020-04-07
Mozambique,10,, ,,1,2020-04-07
Eswatini,10,, ,,4,2020-04-07
MS Zaandam,9,,2 ,,,2020-04-07
Nepal,9,, ,,1,2020-04-07
Malawi,8,+3,1 ,+1,,2020-04-07
Turks and Caicos,8,,1 ,,,2020-04-07
CAR,8,, ,,,2020-04-07
Somalia,8,+1, ,,1,2020-04-07
Belize,7,,1 ,,,2020-04-07
Cabo Verde,7,,1 ,,1,2020-04-07
Vatican City,7,, ,,,2020-04-07
St. Vincent Grenadines,7,, ,,1,2020-04-07
Botswana,6,,1 ,,,2020-04-07
Mauritania,6,,1 ,,2,2020-04-07
Nicaragua,6,,1 ,,,2020-04-07
Montserrat,6,, ,,,2020-04-07
St. Barth,6,, ,,1,2020-04-07
Sierra Leone,6,, ,,,2020-04-07
Bhutan,5,, ,,2,2020-04-07
Gambia,4,,1 ,,2,2020-04-07
Sao Tome and Principe,4,, ,,,2020-04-07
Western Sahara,4,, ,,,2020-04-07
Anguilla,3,, ,,,2020-04-07
British Virgin Islands,3,, ,,,2020-04-07
Burundi,3,, ,,,2020-04-07
Caribbean Netherlands,2,, ,,,2020-04-07
Falkland Islands,2,, ,,,2020-04-07
Papua New Guinea,2,, ,,,2020-04-07
Saint Pierre Miquelon,1,, ,,,2020-04-07
South Sudan,1,, ,,,2020-04-07
Timor-Leste,1,, ,,,2020-04-07
China,"81,740",+32,"3,331 ",,"77,167",2020-04-07
Total:,"1,416,426","+70,422","81,325","+6,671","301,398",2020-04-07
